dataset,expression,chain_of_thought,answer
train,((24 * 17) + (4 - 37)),"[""Compute 24 * 17 = 408."", ""Compute 4 - 37 = -33."", ""Compute 408 + -33 = 375.""]",375
train,((49 + 10) - (39 - 47)),"[""Compute 49 + 10 = 59."", ""Compute 39 - 47 = -8."", ""Compute 59 - -8 = 67.""]",67
train,((4 + 26) - (41 * 22)),"[""Compute 4 + 26 = 30."", ""Compute 41 * 22 = 902."", ""Compute 30 - 902 = -872.""]",-872
train,(44 - 42),"[""Compute 44 - 42 = 2.""]",2
train,((31 + 49) - (17 * 49)),"[""Compute 31 + 49 = 80."", ""Compute 17 * 49 = 833."", ""Compute 80 - 833 = -753.""]",-753
train,(15 + 17),"[""Compute 15 + 17 = 32.""]",32
train,(46 + 27),"[""Compute 46 + 27 = 73.""]",73
train,(22 - 2),"[""Compute 22 - 2 = 20.""]",20
train,(9 + 26),"[""Compute 9 + 26 = 35.""]",35
train,((2 + 13) * (28 - 42)),"[""Compute 2 + 13 = 15."", ""Compute 28 - 42 = -14."", ""Compute 15 * -14 = -210.""]",-210
train,((45 + 35) + (29 * 22)),"[""Compute 45 + 35 = 80."", ""Compute 29 * 22 = 638."", ""Compute 80 + 638 = 718.""]",718
train,(15 - 12),"[""Compute 15 - 12 = 3.""]",3
train,((23 - 20) - (35 - 18)),"[""Compute 23 - 20 = 3."", ""Compute 35 - 18 = 17."", ""Compute 3 - 17 = -14.""]",-14
train,(39 - 40),"[""Compute 39 - 40 = -1.""]",-1
train,(29 * 29),"[""Compute 29 * 29 = 841.""]",841
train,(49 * 6),"[""Compute 49 * 6 = 294.""]",294
train,(30 + 10),"[""Compute 30 + 10 = 40.""]",40
train,((44 - 18) * (29 + 32)),"[""Compute 44 - 18 = 26."", ""Compute 29 + 32 = 61."", ""Compute 26 * 61 = 1586.""]",1586
train,(42 - 44),"[""Compute 42 - 44 = -2.""]",-2
train,((4 * 47) * (24 * 47)),"[""Compute 4 * 47 = 188."", ""Compute 24 * 47 = 1128."", ""Compute 188 * 1128 = 212064.""]",212064
train,((26 - 17) - (23 + 18)),"[""Compute 26 - 17 = 9."", ""Compute 23 + 18 = 41."", ""Compute 9 - 41 = -32.""]",-32
train,((16 + 44) * (17 - 30)),"[""Compute 16 + 44 = 60."", ""Compute 17 - 30 = -13."", ""Compute 60 * -13 = -780.""]",-780
train,(46 - 22),"[""Compute 46 - 22 = 24.""]",24
train,((19 + 17) - (9 + 48)),"[""Compute 19 + 17 = 36."", ""Compute 9 + 48 = 57."", ""Compute 36 - 57 = -21.""]",-21
train,(36 * 6),"[""Compute 36 * 6 = 216.""]",216
train,((26 - 23) - (41 - 45)),"[""Compute 26 - 23 = 3."", ""Compute 41 - 45 = -4."", ""Compute 3 - -4 = 7.""]",7
train,((48 - 44) - (42 + 22)),"[""Compute 48 - 44 = 4."", ""Compute 42 + 22 = 64."", ""Compute 4 - 64 = -60.""]",-60
train,(13 + 21),"[""Compute 13 + 21 = 34.""]",34
train,((38 - 43) + (22 * 22)),"[""Compute 38 - 43 = -5."", ""Compute 22 * 22 = 484."", ""Compute -5 + 484 = 479.""]",479
train,((2 * 15) * (16 * 30)),"[""Compute 2 * 15 = 30."", ""Compute 16 * 30 = 480."", ""Compute 30 * 480 = 14400.""]",14400
train,((27 * 50) - (49 + 26)),"[""Compute 27 * 50 = 1350."", ""Compute 49 + 26 = 75."", ""Compute 1350 - 75 = 1275.""]",1275
train,(31 - 42),"[""Compute 31 - 42 = -11.""]",-11
train,(9 + 37),"[""Compute 9 + 37 = 46.""]",46
train,((3 - 50) - (35 - 31)),"[""Compute 3 - 50 = -47."", ""Compute 35 - 31 = 4."", ""Compute -47 - 4 = -51.""]",-51
train,(36 + 21),"[""Compute 36 + 21 = 57.""]",57
train,(11 - 40),"[""Compute 11 - 40 = -29.""]",-29
train,(45 - 35),"[""Compute 45 - 35 = 10.""]",10
train,((49 - 22) + (23 + 40)),"[""Compute 49 - 22 = 27."", ""Compute 23 + 40 = 63."", ""Compute 27 + 63 = 90.""]",90
train,((7 - 8) + (5 - 18)),"[""Compute 7 - 8 = -1."", ""Compute 5 - 18 = -13."", ""Compute -1 + -13 = -14.""]",-14
train,(33 - 12),"[""Compute 33 - 12 = 21.""]",21
train,(21 * 39),"[""Compute 21 * 39 = 819.""]",819
train,((36 * 29) + (14 + 34)),"[""Compute 36 * 29 = 1044."", ""Compute 14 + 34 = 48."", ""Compute 1044 + 48 = 1092.""]",1092
train,(45 * 29),"[""Compute 45 * 29 = 1305.""]",1305
train,((47 * 20) * (11 + 37)),"[""Compute 47 * 20 = 940."", ""Compute 11 + 37 = 48."", ""Compute 940 * 48 = 45120.""]",45120
train,(11 * 50),"[""Compute 11 * 50 = 550.""]",550
train,(50 - 41),"[""Compute 50 - 41 = 9.""]",9
train,(27 - 37),"[""Compute 27 - 37 = -10.""]",-10
train,(16 * 39),"[""Compute 16 * 39 = 624.""]",624
train,(34 * 39),"[""Compute 34 * 39 = 1326.""]",1326
train,((31 - 10) * (6 - 31)),"[""Compute 31 - 10 = 21."", ""Compute 6 - 31 = -25."", ""Compute 21 * -25 = -525.""]",-525
train,((38 - 34) + (4 + 37)),"[""Compute 38 - 34 = 4."", ""Compute 4 + 37 = 41."", ""Compute 4 + 41 = 45.""]",45
train,(15 + 6),"[""Compute 15 + 6 = 21.""]",21
train,((44 + 13) * (10 - 5)),"[""Compute 44 + 13 = 57."", ""Compute 10 - 5 = 5."", ""Compute 57 * 5 = 285.""]",285
train,((1 * 44) * (23 + 34)),"[""Compute 1 * 44 = 44."", ""Compute 23 + 34 = 57."", ""Compute 44 * 57 = 2508.""]",2508
train,(29 - 2),"[""Compute 29 - 2 = 27.""]",27
train,(21 * 15),"[""Compute 21 * 15 = 315.""]",315
train,((10 + 40) + (27 - 13)),"[""Compute 10 + 40 = 50."", ""Compute 27 - 13 = 14."", ""Compute 50 + 14 = 64.""]",64
train,(47 * 46),"[""Compute 47 * 46 = 2162.""]",2162
train,((43 - 5) + (4 + 49)),"[""Compute 43 - 5 = 38."", ""Compute 4 + 49 = 53."", ""Compute 38 + 53 = 91.""]",91
train,(33 * 27),"[""Compute 33 * 27 = 891.""]",891
train,(46 - 21),"[""Compute 46 - 21 = 25.""]",25
train,((20 * 11) + (6 * 6)),"[""Compute 20 * 11 = 220."", ""Compute 6 * 6 = 36."", ""Compute 220 + 36 = 256.""]",256
train,((5 + 40) - (3 + 3)),"[""Compute 5 + 40 = 45."", ""Compute 3 + 3 = 6."", ""Compute 45 - 6 = 39.""]",39
train,(28 + 1),"[""Compute 28 + 1 = 29.""]",29
train,((41 * 32) * (16 * 14)),"[""Compute 41 * 32 = 1312."", ""Compute 16 * 14 = 224."", ""Compute 1312 * 224 = 293888.""]",293888
train,((42 - 17) - (23 - 10)),"[""Compute 42 - 17 = 25."", ""Compute 23 - 10 = 13."", ""Compute 25 - 13 = 12.""]",12
train,(12 * 20),"[""Compute 12 * 20 = 240.""]",240
train,((38 * 29) * (8 * 15)),"[""Compute 38 * 29 = 1102."", ""Compute 8 * 15 = 120."", ""Compute 1102 * 120 = 132240.""]",132240
train,((12 - 47) - (48 - 18)),"[""Compute 12 - 47 = -35."", ""Compute 48 - 18 = 30."", ""Compute -35 - 30 = -65.""]",-65
train,(12 + 39),"[""Compute 12 + 39 = 51.""]",51
train,(43 + 1),"[""Compute 43 + 1 = 44.""]",44
train,(46 - 44),"[""Compute 46 - 44 = 2.""]",2
train,((48 - 13) * (13 - 6)),"[""Compute 48 - 13 = 35."", ""Compute 13 - 6 = 7."", ""Compute 35 * 7 = 245.""]",245
train,((44 * 26) + (43 - 49)),"[""Compute 44 * 26 = 1144."", ""Compute 43 - 49 = -6."", ""Compute 1144 + -6 = 1138.""]",1138
train,((16 - 46) * (46 + 29)),"[""Compute 16 - 46 = -30."", ""Compute 46 + 29 = 75."", ""Compute -30 * 75 = -2250.""]",-2250
train,(13 - 46),"[""Compute 13 - 46 = -33.""]",-33
train,((1 + 24) + (41 * 22)),"[""Compute 1 + 24 = 25."", ""Compute 41 * 22 = 902."", ""Compute 25 + 902 = 927.""]",927
train,((47 + 45) + (15 + 11)),"[""Compute 47 + 45 = 92."", ""Compute 15 + 11 = 26."", ""Compute 92 + 26 = 118.""]",118
train,((39 + 29) + (35 * 8)),"[""Compute 39 + 29 = 68."", ""Compute 35 * 8 = 280."", ""Compute 68 + 280 = 348.""]",348
train,((33 - 5) + (12 * 44)),"[""Compute 33 - 5 = 28."", ""Compute 12 * 44 = 528."", ""Compute 28 + 528 = 556.""]",556
train,(25 - 47),"[""Compute 25 - 47 = -22.""]",-22
train,(16 + 28),"[""Compute 16 + 28 = 44.""]",44
train,(14 + 4),"[""Compute 14 + 4 = 18.""]",18
train,(26 - 42),"[""Compute 26 - 42 = -16.""]",-16
train,((17 * 16) + (16 + 44)),"[""Compute 17 * 16 = 272."", ""Compute 16 + 44 = 60."", ""Compute 272 + 60 = 332.""]",332
train,(43 - 9),"[""Compute 43 - 9 = 34.""]",34
train,((46 + 11) * (32 + 20)),"[""Compute 46 + 11 = 57."", ""Compute 32 + 20 = 52."", ""Compute 57 * 52 = 2964.""]",2964
train,(8 - 9),"[""Compute 8 - 9 = -1.""]",-1
train,(33 - 44),"[""Compute 33 - 44 = -11.""]",-11
train,(4 * 31),"[""Compute 4 * 31 = 124.""]",124
train,((20 + 6) * (20 + 27)),"[""Compute 20 + 6 = 26."", ""Compute 20 + 27 = 47."", ""Compute 26 * 47 = 1222.""]",1222
train,(37 + 9),"[""Compute 37 + 9 = 46.""]",46
train,(21 * 19),"[""Compute 21 * 19 = 399.""]",399
train,((17 + 19) - (49 * 12)),"[""Compute 17 + 19 = 36."", ""Compute 49 * 12 = 588."", ""Compute 36 - 588 = -552.""]",-552
train,((20 - 37) + (50 - 18)),"[""Compute 20 - 37 = -17."", ""Compute 50 - 18 = 32."", ""Compute -17 + 32 = 15.""]",15
train,((36 - 3) - (12 - 35)),"[""Compute 36 - 3 = 33."", ""Compute 12 - 35 = -23."", ""Compute 33 - -23 = 56.""]",56
train,(34 + 22),"[""Compute 34 + 22 = 56.""]",56
train,((4 * 37) * (5 + 38)),"[""Compute 4 * 37 = 148."", ""Compute 5 + 38 = 43."", ""Compute 148 * 43 = 6364.""]",6364
train,(19 * 25),"[""Compute 19 * 25 = 475.""]",475
train,((14 - 40) + (45 - 34)),"[""Compute 14 - 40 = -26."", ""Compute 45 - 34 = 11."", ""Compute -26 + 11 = -15.""]",-15
train,((37 * 46) * (12 + 45)),"[""Compute 37 * 46 = 1702."", ""Compute 12 + 45 = 57."", ""Compute 1702 * 57 = 97014.""]",97014
train,(33 - 25),"[""Compute 33 - 25 = 8.""]",8
train,((33 * 21) + (17 * 2)),"[""Compute 33 * 21 = 693."", ""Compute 17 * 2 = 34."", ""Compute 693 + 34 = 727.""]",727
train,((39 * 26) * (40 * 26)),"[""Compute 39 * 26 = 1014."", ""Compute 40 * 26 = 1040."", ""Compute 1014 * 1040 = 1054560.""]",1054560
train,((50 * 24) * (42 - 48)),"[""Compute 50 * 24 = 1200."", ""Compute 42 - 48 = -6."", ""Compute 1200 * -6 = -7200.""]",-7200
train,((48 - 38) + (5 - 49)),"[""Compute 48 - 38 = 10."", ""Compute 5 - 49 = -44."", ""Compute 10 + -44 = -34.""]",-34
train,((9 * 26) * (26 - 10)),"[""Compute 9 * 26 = 234."", ""Compute 26 - 10 = 16."", ""Compute 234 * 16 = 3744.""]",3744
train,(24 + 18),"[""Compute 24 + 18 = 42.""]",42
train,((17 * 34) + (27 - 39)),"[""Compute 17 * 34 = 578."", ""Compute 27 - 39 = -12."", ""Compute 578 + -12 = 566.""]",566
train,(7 - 48),"[""Compute 7 - 48 = -41.""]",-41
train,(1 * 45),"[""Compute 1 * 45 = 45.""]",45
train,((47 - 26) - (28 + 17)),"[""Compute 47 - 26 = 21."", ""Compute 28 + 17 = 45."", ""Compute 21 - 45 = -24.""]",-24
train,((3 + 24) - (35 * 21)),"[""Compute 3 + 24 = 27."", ""Compute 35 * 21 = 735."", ""Compute 27 - 735 = -708.""]",-708
train,((4 + 29) * (17 * 18)),"[""Compute 4 + 29 = 33."", ""Compute 17 * 18 = 306."", ""Compute 33 * 306 = 10098.""]",10098
train,(46 - 7),"[""Compute 46 - 7 = 39.""]",39
train,(9 + 24),"[""Compute 9 + 24 = 33.""]",33
train,((27 + 18) + (38 * 37)),"[""Compute 27 + 18 = 45."", ""Compute 38 * 37 = 1406."", ""Compute 45 + 1406 = 1451.""]",1451
train,((24 + 31) + (17 * 19)),"[""Compute 24 + 31 = 55."", ""Compute 17 * 19 = 323."", ""Compute 55 + 323 = 378.""]",378
train,(19 - 4),"[""Compute 19 - 4 = 15.""]",15
train,((18 - 17) * (17 * 39)),"[""Compute 18 - 17 = 1."", ""Compute 17 * 39 = 663."", ""Compute 1 * 663 = 663.""]",663
train,(39 - 2),"[""Compute 39 - 2 = 37.""]",37
train,((29 - 2) + (27 - 14)),"[""Compute 29 - 2 = 27."", ""Compute 27 - 14 = 13."", ""Compute 27 + 13 = 40.""]",40
train,((7 - 37) + (46 + 47)),"[""Compute 7 - 37 = -30."", ""Compute 46 + 47 = 93."", ""Compute -30 + 93 = 63.""]",63
train,((4 - 32) - (31 + 23)),"[""Compute 4 - 32 = -28."", ""Compute 31 + 23 = 54."", ""Compute -28 - 54 = -82.""]",-82
train,(47 * 35),"[""Compute 47 * 35 = 1645.""]",1645
train,(26 - 23),"[""Compute 26 - 23 = 3.""]",3
train,(3 + 33),"[""Compute 3 + 33 = 36.""]",36
train,(27 * 13),"[""Compute 27 * 13 = 351.""]",351
train,((35 + 46) - (8 - 27)),"[""Compute 35 + 46 = 81."", ""Compute 8 - 27 = -19."", ""Compute 81 - -19 = 100.""]",100
train,((36 * 33) + (9 - 32)),"[""Compute 36 * 33 = 1188."", ""Compute 9 - 32 = -23."", ""Compute 1188 + -23 = 1165.""]",1165
train,((9 + 2) + (11 * 39)),"[""Compute 9 + 2 = 11."", ""Compute 11 * 39 = 429."", ""Compute 11 + 429 = 440.""]",440
train,((2 * 49) + (28 + 14)),"[""Compute 2 * 49 = 98."", ""Compute 28 + 14 = 42."", ""Compute 98 + 42 = 140.""]",140
train,((47 * 42) + (46 + 49)),"[""Compute 47 * 42 = 1974."", ""Compute 46 + 49 = 95."", ""Compute 1974 + 95 = 2069.""]",2069
train,(1 + 20),"[""Compute 1 + 20 = 21.""]",21
train,((30 + 18) * (49 + 5)),"[""Compute 30 + 18 = 48."", ""Compute 49 + 5 = 54."", ""Compute 48 * 54 = 2592.""]",2592
train,(49 - 28),"[""Compute 49 - 28 = 21.""]",21
train,((33 + 32) * (6 * 14)),"[""Compute 33 + 32 = 65."", ""Compute 6 * 14 = 84."", ""Compute 65 * 84 = 5460.""]",5460
train,(8 + 48),"[""Compute 8 + 48 = 56.""]",56
train,(48 * 30),"[""Compute 48 * 30 = 1440.""]",1440
train,(39 - 42),"[""Compute 39 - 42 = -3.""]",-3
train,((39 + 24) + (42 * 35)),"[""Compute 39 + 24 = 63."", ""Compute 42 * 35 = 1470."", ""Compute 63 + 1470 = 1533.""]",1533
train,(15 + 32),"[""Compute 15 + 32 = 47.""]",47
train,((12 - 30) - (43 - 36)),"[""Compute 12 - 30 = -18."", ""Compute 43 - 36 = 7."", ""Compute -18 - 7 = -25.""]",-25
train,((36 + 36) * (44 * 50)),"[""Compute 36 + 36 = 72."", ""Compute 44 * 50 = 2200."", ""Compute 72 * 2200 = 158400.""]",158400
train,((34 + 44) * (29 + 9)),"[""Compute 34 + 44 = 78."", ""Compute 29 + 9 = 38."", ""Compute 78 * 38 = 2964.""]",2964
train,(9 - 12),"[""Compute 9 - 12 = -3.""]",-3
train,(40 * 1),"[""Compute 40 * 1 = 40.""]",40
train,(28 * 1),"[""Compute 28 * 1 = 28.""]",28
train,((17 + 11) * (30 - 15)),"[""Compute 17 + 11 = 28."", ""Compute 30 - 15 = 15."", ""Compute 28 * 15 = 420.""]",420
train,(41 - 19),"[""Compute 41 - 19 = 22.""]",22
train,(7 * 16),"[""Compute 7 * 16 = 112.""]",112
train,((12 - 10) - (49 + 47)),"[""Compute 12 - 10 = 2."", ""Compute 49 + 47 = 96."", ""Compute 2 - 96 = -94.""]",-94
train,((3 + 21) + (6 + 22)),"[""Compute 3 + 21 = 24."", ""Compute 6 + 22 = 28."", ""Compute 24 + 28 = 52.""]",52
train,((8 + 18) * (35 + 46)),"[""Compute 8 + 18 = 26."", ""Compute 35 + 46 = 81."", ""Compute 26 * 81 = 2106.""]",2106
train,((43 - 23) * (15 * 34)),"[""Compute 43 - 23 = 20."", ""Compute 15 * 34 = 510."", ""Compute 20 * 510 = 10200.""]",10200
train,(28 * 41),"[""Compute 28 * 41 = 1148.""]",1148
train,(43 * 7),"[""Compute 43 * 7 = 301.""]",301
train,(14 - 45),"[""Compute 14 - 45 = -31.""]",-31
train,(3 - 22),"[""Compute 3 - 22 = -19.""]",-19
train,(4 + 19),"[""Compute 4 + 19 = 23.""]",23
train,((20 * 34) * (20 - 24)),"[""Compute 20 * 34 = 680."", ""Compute 20 - 24 = -4."", ""Compute 680 * -4 = -2720.""]",-2720
train,(13 + 8),"[""Compute 13 + 8 = 21.""]",21
train,(49 - 45),"[""Compute 49 - 45 = 4.""]",4
train,((32 - 21) + (4 + 16)),"[""Compute 32 - 21 = 11."", ""Compute 4 + 16 = 20."", ""Compute 11 + 20 = 31.""]",31
train,((35 * 35) - (7 + 28)),"[""Compute 35 * 35 = 1225."", ""Compute 7 + 28 = 35."", ""Compute 1225 - 35 = 1190.""]",1190
train,((23 - 44) + (37 - 3)),"[""Compute 23 - 44 = -21."", ""Compute 37 - 3 = 34."", ""Compute -21 + 34 = 13.""]",13
train,((21 - 46) - (23 - 42)),"[""Compute 21 - 46 = -25."", ""Compute 23 - 42 = -19."", ""Compute -25 - -19 = -6.""]",-6
train,(33 + 21),"[""Compute 33 + 21 = 54.""]",54
train,((4 * 42) * (48 + 3)),"[""Compute 4 * 42 = 168."", ""Compute 48 + 3 = 51."", ""Compute 168 * 51 = 8568.""]",8568
train,(40 * 44),"[""Compute 40 * 44 = 1760.""]",1760
train,(41 - 39),"[""Compute 41 - 39 = 2.""]",2
train,(10 + 18),"[""Compute 10 + 18 = 28.""]",28
train,((46 + 46) + (17 - 20)),"[""Compute 46 + 46 = 92."", ""Compute 17 - 20 = -3."", ""Compute 92 + -3 = 89.""]",89
train,((2 * 50) + (26 - 17)),"[""Compute 2 * 50 = 100."", ""Compute 26 - 17 = 9."", ""Compute 100 + 9 = 109.""]",109
train,(3 + 37),"[""Compute 3 + 37 = 40.""]",40
train,((3 + 1) * (5 * 49)),"[""Compute 3 + 1 = 4."", ""Compute 5 * 49 = 245."", ""Compute 4 * 245 = 980.""]",980
train,((21 - 13) - (31 - 23)),"[""Compute 21 - 13 = 8."", ""Compute 31 - 23 = 8."", ""Compute 8 - 8 = 0.""]",0
train,(25 + 36),"[""Compute 25 + 36 = 61.""]",61
train,((25 + 15) + (20 - 38)),"[""Compute 25 + 15 = 40."", ""Compute 20 - 38 = -18."", ""Compute 40 + -18 = 22.""]",22
train,(37 + 21),"[""Compute 37 + 21 = 58.""]",58
train,(12 * 30),"[""Compute 12 * 30 = 360.""]",360
train,((14 + 48) * (19 * 26)),"[""Compute 14 + 48 = 62."", ""Compute 19 * 26 = 494."", ""Compute 62 * 494 = 30628.""]",30628
train,(28 + 19),"[""Compute 28 + 19 = 47.""]",47
train,((14 - 43) - (15 - 10)),"[""Compute 14 - 43 = -29."", ""Compute 15 - 10 = 5."", ""Compute -29 - 5 = -34.""]",-34
train,(19 - 14),"[""Compute 19 - 14 = 5.""]",5
train,((28 + 31) * (16 - 9)),"[""Compute 28 + 31 = 59."", ""Compute 16 - 9 = 7."", ""Compute 59 * 7 = 413.""]",413
train,((42 - 36) - (32 + 31)),"[""Compute 42 - 36 = 6."", ""Compute 32 + 31 = 63."", ""Compute 6 - 63 = -57.""]",-57
train,((43 * 18) * (29 + 13)),"[""Compute 43 * 18 = 774."", ""Compute 29 + 13 = 42."", ""Compute 774 * 42 = 32508.""]",32508
train,(26 - 47),"[""Compute 26 - 47 = -21.""]",-21
